"San Marino","41800","53700","47200","39100"
"Sao Tome and Principe","2040","2130","2530","2890"
"Saudi Arabia","44000","44400","44500","50000"
"Senegal","1760","2050","2150","2220"
"Serbia","7390","10300","12600","13100"
"Seychelles","15100","16400","19800","25200"
"Sierra Leone","956","1050","1180","1690"
"Singapore","44900","59000","63700","80300"
"Slovak Republic","13200","18800","24000","27200"
"Slovenia","18400","26000","28500","28500"
"Solomon Islands","2280","1560","1710","2020"
"Somalia","637","614","615","621"
"South Africa","9180","10600","11800","12500"
"South Korea","16600","24600","28600","33400"
"South Sudan","2100","3000","3740","1990"
"Spain","25100","32300","32700","31200"
"Sri Lanka","4510","6190","7990","10700"
"St. Kitts and Nevis","16600","20600","22100","23500"
"St. Lucia","9600","10500","11100","10500"
"St. Vincent and the Grenadines","6620","9110","10300","10300"
"Sudan","1960","2590","3340","4190"
"Suriname","9620","11800","13700","15300"
"Swaziland","5610","6430","7160","8080"
"Sweden","31100","40300","40900","44200"
"Switzerland","45900","51100","54500","56700"
"Syria","4890","5550","6500","4300"
"Tajikistan","1270","1630","2020","2550"
"Tanzania","1370","1730","2030","2400"
"Thailand","9380","11100","12600","14900"
"Timor-Leste","1560","1300","1710","2110"
"Togo","1200","1200","1190","1320"
"Tonga","4260","4900","4840","5030"
"Trinidad and Tobago","12900","25000","30400","31600"
"Tunisia","6130","8580","10200","10800"
"Turkey","12300","15200","16800","22400"
"Turkmenistan","4600","5810","9250","14300"
"Tuvalu","2690","3050","3120","3270"
"Uganda","931","1210","1510","1670"
"Ukraine","5060","7000","7480","8240"
"United Arab Emirates","102000","98600","61100","64100"
"United Kingdom","28600","36100","35800","38000"
"United States","39500","48600","48600","51800"
"Uruguay","11500","12100","15900","19800"
"Uzbekistan","2240","2900","4020","5370"
"Vanuatu","2610","2540","2970","2890"
"Venezuela","15300","13800","17100","16700"
"Vietnam","2040","3280","4260","5370"
"Yemen","3530","4050","4270","3770"
"Zambia","2030","2380","3060","3630"
"Zimbabwe","2480","1780","1290","1910"
