"Country","Very important","Rather important","Not very important","Not at all important"
"Albania","81.5","12.5","3.4","1.5"
"Algeria","92.4","5.9","0.9","0.4"
"Argentina","73.4","22.2","2.6","1.2"
"Bangladesh","91.3","7.6","0.5","0.1"
"Bosnia Herzegovina","74.6","14.2","3.8","7.1"
"Canada","52.1","36.5","7.1","3.8"
"Chile","74.8","19.5","2.9","1.4"
"China","49","42.5","6","1.1"
"India","76.5","17.5","2.9","1.5"
"Indonesia","88.8","10","0.8","0"
"Iran","77.3","15.9","3.6","1.5"
"Iraq","85.2","10.6","2","1.2"
"Japan","46.6","37.6","9","1.8"
"Jordan","64.7","19.5","8.6","6.7"
"South Korea","62.3","30.5","5.1","2.1"
"Kyrgyzstan","54.8","33.8","9.6","1.3"
"Mexico","86.1","10.1","1.9","1"
"Moldova","40.1","34.7","12.9","5.3"
"Morocco","89","7.4","2.2","0.4"
"Nigeria","88.2","8.2","1.9","1.3"
"Pakistan","60.3","32.6","4.8","1.6"
"Peru","68.2","29.2","1.9","0"
"Philippines","93.4","5.6","0.7","0.3"
"Puerto Rico","73.9","20.3","3.3","1.7"
"Saudi Arabia","61.5","24.4","9.3","2.7"
"Singapore","52.3","38.8","6.5","1.8"
"Viet Nam","56.5","36.9","5.6","0.4"
"South Africa","79.3","13.3","5.1","1.5"
"Zimbabwe","90","8.9","0.9","0"
"Spain","55.5","33.9","6.3","3.7"
"Sweden","54.1","36.5","5.6","3.3"
"Turkey","69.8","18.3","5.7","5.5"
"Uganda","78.3","16.8","3.6","0.9"
"Macedonia","75.7","17.9","4.9","0.7"
"Egypt","71.5","18.7","7.7","1.5"
"Tanzania","88.4","2.6","0.9","0.4"
"United States","53.6","35.8","7","3.3"
"Venezuela","92.5","5","1.6","0.8"
"Serbia","53.8","35.3","6.6","2.6"
"Montenegro","57","30.5","5.8","4.1"
