"Country","Very important","Rather important","Not very important","Not at all important"
"Andorra","7.9","21.2","31.2","39.4"
"Argentina","33.1","31.6","23.7","10.5"
"Australia","19.2","19.4","30.9","28.9"
"Brazil","50.5","40.4","6.2","2.7"
"Bulgaria","18.4","31","31.3","16.5"
"Canada","31.8","26.9","25.2","15.5"
"Chile","39.6","33.3","18.2","8.1"
"China","5","11.2","24.1","34.5"
"Taiwan","12.4","39.3","35.8","12.5"
"Cyprus","53.5","26.9","12","6.6"
"Ethiopia","80.5","13.1","3.8","2"
"Finland","17.6","27.4","40.4","14.2"
"France","13","27.8","30.6","28.3"
"Georgia","79.5","16.9","1.9","0.9"
"Germany","11","22.2","28.4","36.2"
"Ghana","89.9","7.4","1.7","0.4"
"Guatemala","83.6","12","3.3","1.1"
"Hong Kong","5.1","22","60.4","9.8"
"Hungary","17.1","20.6","28.7","33.3"
"India","49.7","28.3","13.4","5.3"
"Indonesia","94","4","0.9","0.3"
"Iran","78.2","16.1","3.9","1.5"
"Iraq","95.6","3.3","0.4","0.2"
"Italy","34","41.2","16.8","6.7"
"Japan","5.7","11.6","31.7","39.7"
"Jordan","94.4","5.2","0.2","0.2"
"South Korea","21.1","25.8","34.5","18.6"
"Malaysia","80.4","15.5","3.3","0.7"
"Mali","88.1","8.4","0.8","0.3"
"Mexico","58.7","26","11.4","3.4"
"Moldova","31.7","41.1","20.4","6.6"
"Morocco","90.5","7.9","1.2","0.2"
"Netherlands","12","18.2","27.3","38.7"
"New Zealand","16.6","17.7","29.5","32.2"
"Norway","10.5","22.2","41.3","26"
"Peru","49.1","26.5","18.7","4.7"
"Poland","47.2","38.5","10.3","2.7"
"Romania","57","32","7","2.4"
"Russia","13.1","33.4","31","17.9"
"Rwanda","38.8","56.8","4.1","0.1"
"Serbia","25.3","40.2","26.4","6.5"
"Vietnam","7.1","25.3","47.1","19.4"
"Slovenia","15.1","27.2","30.6","25.7"
"South Africa","69.9","20.1","6.5","3"
"Spain","14.8","24.1","31","29.7"
"Sweden","9.3","19.9","40.7","29.6"
"Switzerland","17.2","28.2","31.6","22.7"
"Thailand","56","37.7","5.3","0.4"
"Trinidad and Tobago","76.6","12.9","7.9","2.3"
"Turkey","74.6","16.6","6.2","2.5"
"Ukraine","17.6","37.4","26.7","14.6"
"Egypt","95.4","4.1","0.2","0.2"
"United Kingdom","20.7","19.4","33.4","25"
"United States","47","24.1","19.5","8.7"
"Burkina Faso","82.8","12","2.7","0.7"
"Uruguay","22.6","23","27.5","25.9"
"Zambia","75.6","16.3","4.5","1.2"
