"Country","Very important","Rather important","Not very important","Not at all important"
"Albania","13.7","38","35.2","11.7"
"Algeria","23.8","52","17.5","5.5"
"Argentina","35.1","41.7","17.4","3.9"
"Bangladesh","23","46.1","26.2","3.1"
"Bosnia Herzegovina","43.3","43.8","11.7","0.9"
"Canada","38","50.2","10.6","1.1"
"Chile","53.3","34.4","8.8","2.4"
"China","7.1","41.7","43.9","4.1"
"India","27.7","33.6","24.9","10.5"
"Indonesia","17.2","45.9","34.9","1.7"
"Iran","28.5","39.7","21.8","5.6"
"Iraq","30.5","34.2","22","10"
"Japan","42.3","46","8.1","0.1"
"Jordan","17.2","40","29.4","12.4"
"South Korea","23.8","60.9","13.5","1.8"
"Kyrgyzstan","24.8","45.8","25","3.8"
"Mexico","49.7","32.4","12.4","3.3"
"Moldova","24.2","43.5","25.9","3.5"
"Morocco","38.6","35.1","16.4","9.4"
"Nigeria","51.7","32.3","12.7","3"
"Pakistan","4.9","30","42.4","18.6"
"Peru","22.8","28.4","35.2","12.8"
"Philippines","15.3","41.5","36.9","6.3"
"Puerto Rico","52.5","33.5","12.2","1.5"
"Saudi Arabia","30.4","33.2","27","8.2"
"Singapore","26.3","54.7","17.7","1.1"
"Vietnam","7.2","50.8","38","1.7"
"South Africa","35.4","42.9","17.6","3.6"
"Zimbabwe","27.5","36.4","28.1","7.9"
"Spain","38.2","48.5","11.6","0.9"
"Sweden","53.9","39.6","5.7","0.4"
"Turkey","40.8","35.1","16.7","6.3"
"Uganda","44.7","36.6","16","2.6"
"Macedonia","41.2","38.8","16.7","2.4"
"Egypt","9.1","45.5","35.5","9.3"
"Tanzania","10.5","34.9","31.9","11.7"
"United States","42.5","48.2","8.8","0.4"
"Venezuela","65.7","24.2","7.9","2.2"
"Serbia","30.4","45.8","19.8","2.3"
"Montenegro","24.3","46","24.8","3.7"
