"Nicaragua","3.78","2.74","2.48","2.26"
"Niger","7.73","7.63","7.52","7.34"
"Nigeria","6.26","6.01","5.87","5.65"
"North Korea","2.12","2","1.99","1.93"
"Norway","1.87","1.83","1.98","1.87"
"Oman","5.35","3.03","2.9","2.8"
"Pakistan","5.34","4.13","3.9","3.62"
"Palestine","6.25","4.87","4.49","4.14"
"Panama","2.85","2.66","2.63","2.57"
"Papua New Guinea","4.67","4.32","4.04","3.76"
"Paraguay","4.11","3.12","2.79","2.54"
"Peru","3.32","2.73","2.57","2.46"
"Philippines","4.01","3.58","3.21","2.99"
"Poland","1.73","1.28","1.37","1.32"
"Portugal","1.46","1.43","1.34","1.26"
"Qatar","3.59","2.71","2.13","1.95"
"Romania","1.37","1.36","1.46","1.5"
"Russia","1.34","1.34","1.54","1.7"
"Rwanda","6.17","5.24","4.64","4.06"
"Samoa","4.75","4.46","4.39","4.09"
"Sao Tome and Principe","5.55","5.07","4.84","4.58"
"Saudi Arabia","4.98","3.51","3.06","2.64"
"Senegal","6","5.2","5.08","4.9"
"Serbia","1.89","1.66","1.58","1.6"
"Seychelles","2.35","2.22","2.34","2.35"
"Sierra Leone","6.61","5.97","5.35","4.67"
"Singapore","1.67","1.26","1.26","1.25"
"Slovak Republic","1.63","1.23","1.34","1.41"
"Slovenia","1.27","1.27","1.48","1.6"
"Solomon Islands","5.2","4.54","4.3","3.97"
"Somalia","7.65","7.38","6.96","6.46"
"South Africa","3.11","2.7","2.6","2.51"
"South Korea","1.62","1.18","1.18","1.26"
"South Sudan","6.55","5.89","5.47","5.02"
"Spain","1.21","1.33","1.38","1.34"
"Sri Lanka","2.29","2.28","2.23","2.08"
"St. Lucia","2.89","1.74","1.56","1.48"
"St. Vincent and the Grenadines","2.7","2.2","2.09","1.98"
"Sudan","5.83","5.2","4.93","4.66"
"Suriname","3.01","2.71","2.55","2.42"
"Swaziland","4.8","3.93","3.61","3.2"
"Sweden","1.73","1.77","1.94","1.92"
"Switzerland","1.52","1.42","1.49","1.54"
"Syria","4.51","3.65","3.26","3.02"
"Tajikistan","4.59","3.53","3.5","3.44"
"Tanzania","5.88","5.65","5.49","5.15"
"Thailand","1.87","1.58","1.55","1.51"
"Timor-Leste","6.38","6.88","6.36","5.74"
"Togo","5.76","5.23","4.94","4.59"
"Tonga","4.45","4.18","3.96","3.72"
"Trinidad and Tobago","1.96","1.76","1.8","1.78"
"Tunisia","2.61","2","2.1","2.23"
"Turkey","2.76","2.31","2.17","2.09"
"Turkmenistan","3.51","2.67","2.77","2.96"
"Uganda","7.02","6.65","6.25","5.78"
"Ukraine","1.41","1.2","1.42","1.51"
"United Arab Emirates","3.42","2.24","1.9","1.78"
"United Kingdom","1.76","1.72","1.88","1.88"
"United States","1.98","2.06","2","1.95"
"Uruguay","2.4","2.17","2.09","2.02"
"Uzbekistan","3.53","2.48","2.46","2.34"
"Vanuatu","4.73","3.95","3.55","3.35"
"Venezuela","3.08","2.66","2.5","2.37"
"Vietnam","2.71","1.89","1.94","1.96"
"Yemen","7.53","5.6","4.8","4.22"
"Zambia","6.19","5.86","5.48","5.1"
"Zimbabwe","4.43","3.98","4.02","3.9"
