"Country","Most people can be trusted","Can't be too careful","Don't know"
"Albania","24.3","65.8","9.9"
"Azerbaijan","19.4","75.2","5.3"
"Argentina","17.1","80.4","2.5"
"Australia","39.4","59.4","1.1"
"Bangladesh","20.5","77.4","2.2"
"Armenia","23.5","71.7","4.8"
"Brazil","2.8","96.5","0.7"
"Bulgaria","23.7","59.1","17.2"
"Belarus","23","72.5","4.5"
"Chile","21.4","76.2","2.4"
"China","50.4","45.9","3.7"
"Taiwan","36.9","59.7","2.7"
"Colombia","10.7","88.5","0.7"
"Croatia","22.8","68.1","9"
"Czech Rep.","27.2","68.2","0"
"Dominican Rep.","25.2","70","4.8"
"El Salvador","14.1","82.4","3.5"
"Estonia","21.1","76.8","2.2"
"Finland","47.9","50.3","1.8"
"Georgia","17.7","76.8","5.5"
"Germany","32.1","64.4","3.5"
"Hungary","22.5","76.3","1.2"
"India","32.8","53.9","13.3"
"Japan","39.8","54.2","6.1"
"South Korea","30.3","69.6","0.2"
"Latvia","23.9","72.8","3.3"
"Lithuania","21.3","75.9","2.8"
"Mexico","26.4","67.6","6"
"Moldova","21.8","76.5","1.6"
"New Zealand","47.5","49.3","1.3"
"Nigeria","16.4","76","0.2"
"Norway","64.8","34.4","0.8"
"Pakistan","20.4","78.7","0.9"
"Peru","4.9","92.2","2.9"
"Philippines","5.5","93.8","0.8"
"Poland","16.9","77.5","5.6"
"Puerto Rico","5.9","92.4","0.6"
"Romania","17.9","77.9","4.2"
"Russia","23.2","73.8","2.9"
"Slovakia","25.8","69.5","4.7"
"Slovenia","15.3","83.1","1.6"
"South Africa","17.6","78.9","3.6"
"Spain","28.7","67.7","3.6"
"Sweden","56.6","38.3","5.2"
"Switzerland","37.8","54.5","7.6"
"Turkey","6.5","93","0.6"
"Ukraine","28.8","64.1","7.1"
"Macedonia","7.5","84.3","8.1"
"United Kingdom","30.4","67.6","1.9"
"United States","35","63.1","1.9"
"Uruguay","21.6","76.2","2.2"
"Venezuela","13.3","83.7","3"
"Serbia","28.4","67","4.5"
"Montenegro","30.4","63.7","5.8"
"Bosnia","24.8","70","5.2"
"(N)","23.8","72.2","3.7"
