"Myanmar","0.161","0.259","0.205","0.417"
"Namibia","0.986","0.976","1.44","1.58"
"Nauru","10.7","6.52","4.06","4.31"
"Nepal","0.0951","0.105","0.162","0.284"
"Netherlands","11.5","11.3","10.4","9.91"
"New Zealand","7.38","8.47","7.49","7.59"
"Nicaragua","0.603","0.834","0.793","0.809"
"Niger","0.0855","0.062","0.0612","0.111"
"Nigeria","0.332","0.77","0.497","0.546"
"North Korea","3.79","3.05","2.89","1.61"
"Norway","7.66","9.27","11.5","9.27"
"Oman","7.21","11.4","14.3","15.4"
"Pakistan","0.688","0.873","0.951","0.896"
"Palau","13.6","12.8","12.1","12.3"
"Palestine","0.361","0.627","0.528","0.626"
"Panama","1.09","1.78","2.4","2.25"
"Papua New Guinea","0.421","0.728","0.733","0.815"
"Paraguay","0.833","0.717","0.744","0.87"
"Peru","0.994","1.17","1.78","1.99"
"Philippines","0.869","0.875","0.841","1.06"
"Poland","8.95","7.93","7.77","7.46"
"Portugal","5.11","6","5.08","4.3"
"Qatar","61.9","56.6","43.5","45.4"
"Romania","5.49","4.49","3.96","3.5"
"Russia","11","11.1","11","11.9"
"Rwanda","0.0779","0.0599","0.0577","0.074"
"Samoa","0.69","0.841","1.01","1.03"
"Sao Tome and Principe","0.377","0.483","0.537","0.594"
"Saudi Arabia","12.6","17","17.6","19.5"
"Senegal","0.4","0.478","0.365","0.609"
"Serbia","3.93","5.72","5.09","4.24"
"Seychelles","2.58","8.43","5.76","5.31"
"Sierra Leone","0.0935","0.118","0.103","0.185"
"Singapore","12.1","6.52","11.3","10.3"
"Slovak Republic","7.83","7.18","6.3","5.65"
"Slovenia","7.23","7.91","7.51","6.19"
"Solomon Islands","0.398","0.352","0.377","0.35"
"Somalia","0.0766","0.0587","0.051","0.045"
"South Africa","8.61","9.33","9.87","8.98"
"South Korea","8.27","9.94","10.3","11.7"
"South Sudan","","","","0.13"
"Spain","6.06","7.83","6.2","5.03"
"Sri Lanka","0.324","0.635","0.656","0.892"
"St. Kitts and Nevis","2.99","4.43","4.4","4.3"
"St. Lucia","2.12","2.19","2.25","2.31"
"St. Vincent and the Grenadines","1.19","2.03","2.85","1.91"
"Sudan","0.178","0.38","0.462","0.407"
"Suriname","4.65","3.16","3.85","3.63"
"Swaziland","0.473","0.941","0.885","0.929"
"Sweden","6.24","6.06","4.62","4.48"
"Switzerland","5.59","5.49","5.38","4.29"
"Syria","2.9","2.87","2.99","1.6"
"Tajikistan","0.425","0.382","0.328","0.62"
"Tanzania","0.119","0.114","0.133","0.221"
"Thailand","2.71","3.74","4","4.62"
"Timor-Leste","","0.177","0.208","0.387"
"Togo","0.223","0.252","0.44","0.363"
"Tonga","0.992","1.1","1.27","1.14"
"Trinidad and Tobago","13.6","25.9","34","34.2"
