"Country","Very important","Rather important","Not very important","Not at all important"
"Algeria","37.8","29.6","19.2","11.9"
"Azerbaijan","21.3","44.5","28.3","5.8"
"Argentina","33.7","43","18.7","3.9"
"Australia","41","48.3","7","0.6"
"Armenia","27.1","49.9","16.4","4.4"
"Brazil","32.8","54.6","10.4","1.8"
"Belarus","37.1","38.5","18.4","4.5"
"Chile","56.1","34.1","7.6","1.4"
"China","21.2","48.6","24.4","1.7"
"Taiwan","35.5","48.8","12.7","1.2"
"Colombia","49.4","36.2","12.5","1.7"
"Cyprus","55.9","34.3","7.8","1.9"
"Ecuador","55.9","30.6","11.5","1.9"
"Estonia","40.8","42.5","13.8","2.4"
"Georgia","32.4","40.8","19.4","7.3"
"Palestine","27.7","41.9","23","6.3"
"Germany","31.6","55.8","11.4","1"
"Ghana","51.9","34.9","11.7","1.5"
"Haiti","21.7","38.1","27.1","12.4"
"Hong Kong","33.5","53.5","11.9","0.6"
"India","34.9","35.2","19.1","9"
"Iraq","16.8","42.2","31.4","8.8"
"Japan","42.3","46.1","8.3","0.5"
"Kazakhstan","42.3","37.5","18","2.2"
"Jordan","33.6","42.8","17.9","5.7"
"South Korea","30.8","55.8","10.9","1"
"Kuwait","33.8","37.5","18.9","6.3"
"Kyrgyzstan","23.6","44.5","25.5","6.3"
"Lebanon","37.1","34","18.4","8.7"
"Libya","41.4","36.7","15.3","4.1"
"Malaysia","39.2","46.9","12.6","1.2"
"Mexico","59.2","26.6","11.7","2.5"
"Morocco","16.9","29.8","28","18.6"
"Netherlands","40.4","52.6","5.7","0.2"
"New Zealand","47.8","41.3","7","0.1"
"Nigeria","52.2","33.3","11.9","2.6"
"Pakistan","16.5","37.2","35.6","9.4"
"Peru","37","36.4","22.5","2.5"
"Philippines","11.7","43.3","32.8","11.9"
"Poland","35","50.5","11.6","1.2"
"Qatar","42.9","40.5","12.3","4.2"
"Romania","34.1","44.4","17","4"
"Russia","29.4","45.2","18.5","5.1"
"Rwanda","31.4","41.6","22.5","4.5"
"Singapore","38.3","49.6","10.9","1.2"
"Slovenia","41.2","46.2","10.7","1.2"
"South Africa","36.1","35.9","18.9","8.2"
"Zimbabwe","38.7","41.8","17.5","2"
"Spain","44.8","46.3","7.6","0.3"
"Sweden","53.6","41.3","3.5","0.5"
"Thailand","26.4","51","17.7","3.7"
"Trinidad and Tobago","56.2","25","15.6","2.7"
"Tunisia","36","32.5","20.8","8.1"
"Turkey","41.9","43.2","12","1.8"
"Ukraine","36.9","43.6","15.4","4"
"Egypt","21.1","39.8","30.8","8.3"
"United States","38.9","51.6","8","0.9"
"Uruguay","48.9","37.8","10.4","1.6"
"Uzbekistan","29.8","35.9","22.9","10.6"
"Yemen","17","38.3","33.1","8.5"
